id_cliente,numero_cuenta,nombre,apellido,ciudad_cliente,pais_cliente,fecha_nacimiento,estado_civil,ingreso_anual,genero,numero_hijos,hijos_en_casa,nivel_educativo,fecha_apertura_cuenta,tipo_membresia,ocupacion,vivienda_propia
21,306821354032-3, Raúl, Salinas,Cali,Colombia,11/4/1948,Soltero,$6K-$10K,M,1,0,Educación Secundaria Completa,26/4/2022,Básica,Operativa Básica,Si
22,306864744200-0, Laura, Fuentes,Cali,Colombia,10/7/1977,Casado,$6K-$10K,F,4,4,Educación Secundaria Completa,8/8/2021,Premium,Operativa Calificada,Si
23,306874394712-8, Rocío, Maldonado,Bogotá,Colombia,24/10/1946,Soltero,$6K-$10K,F,2,0,Educación Secundaria Completa,8/12/2022,Selecta,Operativa Básica,No
24,306885997950-6, Vanessa, Ochoa,Lima,Perú,12/4/1951,Soltero,$6K-$10K,F,0,0,Educación Secundaria Completa,19/5/2021,Frescura,Operativa Básica,No
25,306903590557-3, Silvia, Vega,Quito,Ecuador,26/9/1982,Soltero,$14K-$18K,F,3,0,Educación Secundaria Completa,18/11/2021,Frescura,Profesional,No
26,306919643450-4, Guido, Aguilar,Bogotá,Colombia,25/8/1984,Soltero,$2K-$6K,M,0,0,Educación Secundaria Incompleta,21/9/2022,Básica,Operativa Calificada,No
27,306950566766-0, Lucía, Montoya,Cali,Colombia,17/3/1964,Casado,$6K-$10K,F,1,1,Educación Secundaria Completa,21/10/2021,Frescura,Operativa Básica,Si
28,306984925863-7, Lourdes, Salinas,Cali,Colombia,3/12/2000,Soltero,$2K-$6K,F,1,0,Educación Secundaria Incompleta,28/9/2023,Selecta,Operativa Básica,Si
29,307011549471-2, Araceli, Ramos,Quito,Ecuador,10/4/1967,Soltero,$2K-$6K,F,2,0,Educación Secundaria Incompleta,9/1/2023,Básica,Operativa Básica,No
30,307016262112-1, Vanessa, Calderón,Medellín,Colombia,7/8/1947,Soltero,$10K-$14K,F,4,0,Educación Universitaria Completa,5/9/2023,Frescura,Profesional,Si
31,307053775487-6, Irene, Peralta,Bogotá,Colombia,7/2/2008,Casado,$10K-$14K,F,4,3,Postgrado Universitario,2/6/2021,Premium,Profesional,Si
32,307084341942-9, Marina, Arias,Quito,Ecuador,1/8/1960,Soltero,$2K-$6K,F,2,0,Educación Secundaria Incompleta,23/6/2021,Básica,Operativa Básica,Si
33,307099812922-7, Raquel, Monroy,Bogotá,Colombia,23/7/2001,Casado,$6K-$10K,F,2,2,Educación Secundaria Completa,15/8/2022,Frescura,Operativa Calificada,No
34,307184734500-6, Concha, Montoya,Bogotá,Colombia,21/10/1949,Casado,$10K-$14K,F,3,1,Educación Universitaria Completa,27/2/2020,Selecta,Gerencial,Si
35,307198684513-5, Alejandro, Galindo,Puno,Perú,17/4/1950,Casado,$6K-$10K,M,5,1,Educación Universitaria Incompleta,21/9/2022,Frescura,Operativa Calificada,Si
36,307259573338-6, Leonardo, Herrera,Medellín,Colombia,22/11/1945,Soltero,$2K-$6K,M,1,0,Educación Secundaria Incompleta,24/6/2020,Básica,Operativa Calificada,No
37,307291867134-9, Oscar, Ochoa,Cali,Colombia,4/6/1991,Soltero,$10K-$14K,M,0,0,Educación Universitaria Completa,6/2/2022,Frescura,Profesional,No
38,307304503023-0, Raúl, Romero,Bogotá,Colombia,4/9/1988,Soltero,$6K-$10K,M,1,0,Educación Universitaria Incompleta,6/8/2023,Frescura,Gerencial,No
39,307329380512-2, Julia, Soto,Medellín,Colombia,23/1/1989,Casado,$18K-22K,F,4,2,Postgrado Universitario,3/10/2022,Frescura,Profesional,Si
40,307349733114-7, Ángel, Medina,Bogotá,Colombia,27/10/1956,Soltero,$22K-$26K,M,1,0,Educación Universitaria Incompleta,14/8/2022,Frescura,Profesional,Si
41,307364077650-3, Pablo, Romero,Medellín,Colombia,19/4/1949,Soltero,$22K-$26K,M,1,0,Educación Secundaria Completa,10/10/2020,Frescura,Profesional,No
42,307472505865-1, Gloria, Jara,Lima,Perú,27/3/1995,Casado,$14K-$18K,F,3,3,Educación Universitaria Completa,21/7/2023,Premium,Gerencial,Si
43,307493759689-5, Gloria, Pinto,Bogotá,Colombia,16/5/2007,Soltero,$10K-$14K,F,2,0,Educación Universitaria Completa,19/3/2023,Frescura,Profesional,No
44,307541242838-3, Mateo, Flores,Bogotá,Colombia,20/5/1947,Soltero,$6K-$10K,M,1,0,Educación Secundaria Completa,1/7/2022,Frescura,Operativa Calificada,Si
45,307543420800-9, Juan, Álvarez,Cali,Colombia,8/9/1946,Soltero,$10K-$14K,M,5,0,Educación Universitaria Completa,5/7/2024,Premium,Gerencial,Si
46,307630463837-1, Miriam, Cárdenas,Bogotá,Colombia,2/10/1958,Casado,$14K-$18K,F,1,1,Postgrado Universitario,22/11/2022,Selecta,Profesional,No
47,307632304000-5, Diego, Castillo,Quito,Ecuador,9/1/1981,Casado,$10K-$14K,M,0,0,Educación Universitaria Completa,17/5/2022,Frescura,Profesional,No
48,307656787036-2, Ricardo, Lara,Cajamarca,Perú,17/10/1957,Casado,$10K-$14K,M,0,0,Educación Universitaria Completa,5/4/2024,Frescura,Profesional,No
49,307657838464-3, Diana, Gómez,Bogotá,Colombia,12/2/1960,Soltero,$6K-$10K,F,4,0,Educación Secundaria Completa,20/4/2022,Frescura,Operativa Calificada,No
50,307686020432-6, Israel, Escalante,Bogotá,Colombia,3/9/1952,Soltero,$22K-$26K,M,4,0,Educación Secundaria Incompleta,6/3/2023,Frescura,Profesional,Si
51,307730987666-4, Adriana, Zambrano,Bogotá,Colombia,5/2/1985,Casado,$18K-22K,F,4,2,Postgrado Universitario,12/5/2023,Frescura,Profesional,No
52,307787595850-1, Ángela, Parra,Lima,Perú,9/4/1942,Soltero,$14K-$18K,F,3,0,Educación Universitaria Completa,19/3/2024,Selecta,Profesional,No
53,307832037100-7, Alberto, Vega,Quito,Ecuador,24/12/1962,Casado,$14K-$18K,M,4,2,Postgrado Universitario,7/10/2023,Básica,Gerencial,Si
54,307842495100-7, Gloria, Romero,Quito,Ecuador,24/9/1991,Soltero,$6K-$10K,F,0,0,Educación Universitaria Incompleta,24/7/2022,Frescura,Profesional,Si
55,307864725291-4, Héctor, Díaz,Bogotá,Colombia,2/8/1954,Casado,$2K-$6K,M,3,2,Educación Secundaria Incompleta,3/10/2022,Básica,Operativa Calificada,Si
56,307878281176-5, Rubén, Espinoza,Bogotá,Colombia,21/11/1965,Soltero,$2K-$6K,M,3,0,Educación Secundaria Incompleta,4/11/2020,Básica,Operativa Básica,No
57,307925633050-1, Javier, Bustamante,Lima,Perú,12/10/1990,Soltero,$2K-$6K,M,3,0,Educación Secundaria Incompleta,15/5/2021,Premium,Operativa Básica,Si
58,307954472004-7, Cristina, Calderón,Bogotá,Colombia,4/4/1986,Soltero,$6K-$10K,F,3,0,Educación Secundaria Incompleta,24/11/2022,Frescura,Operativa Calificada,No
59,308035431900-3, Esteban, Medina,Quito,Ecuador,6/1/1972,Casado,$6K-$10K,M,5,5,Educación Secundaria Completa,19/3/2023,Frescura,Operativa Básica,Si
60,308063144550-6, Ernesto, Villalobos,Quito,Ecuador,2/2/1944,Soltero,$6K-$10K,M,3,0,Educación Universitaria Incompleta,9/4/2020,Selecta,Operativa Calificada,Si
61,308174576759-7, Juan Carlos, Acosta,Cali,Colombia,15/2/1975,Casado,$14K-$18K,M,1,0,Educación Universitaria Completa,26/2/2021,Frescura,Profesional,No
62,308235165350-8, Gabriel, Núñez,Bogotá,Colombia,25/6/1961,Casado,$6K-$10K,M,1,1,Educación Secundaria Completa,5/12/2021,Premium,Operativa Calificada,Si
63,308286929300-9, Lorena, Rojas,Trujillo,Perú,13/10/1946,Soltero,$14K-$18K,F,4,0,Educación Universitaria Completa,6/4/2022,Frescura,Profesional,No
64,308294157682-9, Abel, Flores,Medellín,Colombia,13/8/1962,Soltero,$2K-$6K,M,4,0,Educación Secundaria Incompleta,26/2/2023,Básica,Operativa Básica,Si
65,308337172269-7, Remedios, Rodríguez,Quito,Ecuador,9/7/2009,Casado,$18K-22K,F,0,0,Educación Universitaria Incompleta,23/11/2020,Básica,Gerencial,Si
66,308393423555-4, Patricia, Molina,Quito,Ecuador,8/11/1963,Casado,$22K-$26K,F,4,4,Educación Universitaria Incompleta,9/3/2022,Selecta,Profesional,Si
67,308402754961-4, Rubén, Torres,Quito,Ecuador,7/1/1958,Casado,$6K-$10K,M,3,1,Educación Universitaria Incompleta,1/3/2021,Frescura,Operativa Calificada,Si
68,308414545950-0, Patricia, Delgado,Cajamarca,Perú,27/7/1947,Soltero,$6K-$10K,F,0,0,Educación Secundaria Completa,13/11/2023,Selecta,Operativa Básica,Si
69,308482212721-0, Julián, Guzmán,Bogotá,Colombia,17/6/1999,Casado,$2K-$6K,M,1,1,Educación Secundaria Incompleta,3/12/2021,Básica,Operativa Calificada,Si
70,308504724500-8, Leonardo, Zamora,Bogotá,Colombia,26/3/2002,Casado,$6K-$10K,M,0,0,Educación Secundaria Completa,13/7/2021,Frescura,Operativa Básica,Si
71,308564073741-8, Gonzalo, Rivas,Chimbote,Perú,4/8/1997,Soltero,$2K-$6K,M,5,0,Educación Secundaria Incompleta,20/11/2020,Básica,Operativa Básica,No
72,308564374146-7, Marina, Medina,Quito,Ecuador,17/9/1970,Casado,$2K-$6K,F,5,5,Educación Secundaria Incompleta,12/3/2022,Básica,Operativa Calificada,Si
73,308590903877-8, Paloma, Álvarez,Cali,Colombia,28/2/1955,Casado,$6K-$10K,F,4,3,Educación Secundaria Completa,10/7/2022,Premium,Operativa Calificada,Si
74,308602094052-2, Alberto, Medina,Cali,Colombia,4/3/1995,Soltero,$10K-$14K,M,3,0,Educación Universitaria Completa,24/3/2022,Frescura,Profesional,Si
75,308639907835-1, Marina, Chávez,Cali,Colombia,25/3/1943,Soltero,$6K-$10K,F,3,0,Educación Secundaria Completa,17/3/2020,Frescura,Operativa Básica,No
76,308647774754-2, Adriana, Sánchez,Cali,Colombia,23/6/1947,Soltero,$14K-$18K,F,1,0,Educación Secundaria Completa,26/5/2024,Básica,Profesional,No
77,308713582800-2, Juan, Jara,Bogotá,Colombia,17/6/1951,Soltero,$10K-$14K,M,2,0,Educación Universitaria Completa,18/6/2022,Básica,Profesional,Si
78,308852521180-8, Luis, Parra,Medellín,Colombia,24/6/1970,Casado,$2K-$6K,M,1,1,Educación Secundaria Incompleta,5/2/2024,Selecta,Operativa Básica,Si
79,308874676226-4, José, Espinosa,Cali,Colombia,7/10/1987,Soltero,$14K-$18K,M,2,0,Educación Universitaria Completa,6/2/2024,Frescura,Gerencial,Si
80,308918836114-2, Cristina, Escalante,Bogotá,Colombia,18/4/1976,Soltero,$14K-$18K,F,1,0,Educación Universitaria Completa,11/11/2022,Frescura,Gerencial,Si
81,308930889964-1, Jorge, Guerra,Medellín,Colombia,25/10/1974,Soltero,$2K-$6K,M,2,0,Educación Secundaria Incompleta,5/5/2020,Básica,Operativa Calificada,Si
82,308964986204-4, Nuria, Escalante,Bogotá,Colombia,8/10/1971,Soltero,$2K-$6K,F,4,0,Educación Secundaria Incompleta,23/3/2023,Básica,Operativa Calificada,Si
83,308995515108-1, Inés, Rojas,Bogotá,Colombia,24/3/1999,Soltero,$22K-$26K,F,3,0,Educación Secundaria Incompleta,20/2/2024,Premium,Gerencial,Si
84,309064721462-8, Jorge, Duarte,Quito,Ecuador,3/5/1962,Soltero,$10K-$14K,M,4,0,Educación Universitaria Completa,27/8/2024,Frescura,Profesional,No
85,309213967619-0, Andrés, Velasco,Bogotá,Colombia,19/10/1976,Casado,$6K-$10K,M,3,3,Educación Secundaria Completa,24/8/2023,Premium,Operativa Calificada,Si
86,309233831900-3, Guillermo, Salazar,Cali,Colombia,25/3/1941,Soltero,$6K-$10K,M,4,0,Educación Secundaria Incompleta,11/6/2022,Básica,Operativa Calificada,Si
87,309243858158-2, Lucía, Chacón,Quito,Ecuador,15/4/1979,Soltero,$14K-$18K,F,4,0,Educación Secundaria Completa,26/9/2022,Frescura,Gerencial,No
88,309330037450-6, Sonia, Rodríguez,Medellín,Colombia,2/11/1973,Soltero,$6K-$10K,F,2,0,Educación Secundaria Completa,18/9/2022,Frescura,Operativa Básica,No
89,309352211354-8, Ángela, Salinas,Bogotá,Colombia,10/6/2004,Soltero,$14K-$18K,F,4,0,Educación Secundaria Completa,16/4/2022,Frescura,Gerencial,No
90,309354088901-0, Lidia, Parra,Quito,Ecuador,10/5/2006,Casado,$14K-$18K,F,2,2,Educación Secundaria Completa,19/2/2023,Frescura,Profesional,Si
91,309392447172-5, Javier, Cáceres,Bogotá,Colombia,24/4/1986,Casado,$10K-$14K,M,1,1,Educación Universitaria Completa,20/12/2020,Frescura,Profesional,No
92,309395301044-4, Pedro, González,Bogotá,Colombia,8/3/1964,Casado,$6K-$10K,M,4,2,Educación Secundaria Completa,5/7/2023,Frescura,Operativa Calificada,Si
93,309457034765-8, Antonio, Blanco,Medellín,Colombia,22/3/2000,Casado,$26K-$30K,M,5,4,Educación Universitaria Completa,5/8/2023,Premium,Profesional,Si
94,309458949863-3, Miguel, Solano,Quito,Ecuador,15/9/1969,Soltero,$2K-$6K,M,1,0,Educación Secundaria Incompleta,15/12/2023,Básica,Operativa Calificada,Si
95,309494041203-7, Sonia, Castro,Trujillo,Perú,9/9/1960,Soltero,$26K-$30K,F,2,0,Postgrado Universitario,13/9/2021,Selecta,Profesional,Si
96,309558103082-0, Miguel, Álvarez,Medellín,Colombia,15/3/1981,Soltero,$10K-$14K,M,0,0,Educación Universitaria Completa,18/10/2020,Básica,Gerencial,Si
97,309647417800-5, Nicolás, Reyes,Quito,Ecuador,8/3/1953,Casado,$10K-$14K,M,4,4,Educación Secundaria Completa,21/4/2022,Premium,Operativa Calificada,Si
98,309702317400-2, Elena, Cruz,Quito,Ecuador,3/12/1982,Casado,$26K-$30K,F,1,1,Educación Secundaria Completa,9/7/2020,Frescura,Gerencial,Si
99,309771636426-5, Lucía, Pérez,Cali,Colombia,4/9/1964,Soltero,$6K-$10K,F,3,0,Educación Universitaria Completa,28/5/2022,Frescura,Profesional,No
100,309774471650-6, Marta, Castro,Bogotá,Colombia,14/12/1959,Casado,$18K-22K,F,2,2,Educación Secundaria Incompleta,8/6/2020,Selecta,Profesional,Si
101,309775278866-0, Verónica, Díaz,Quito,Ecuador,26/4/2005,Soltero,$2K-$6K,F,1,0,Educación Secundaria Incompleta,16/7/2023,Básica,Operativa Básica,No
102,309855600296-6, Benjamín, Bustamante,Quito,Ecuador,5/2/2002,Casado,$6K-$10K,M,2,0,Educación Universitaria Completa,10/6/2020,Frescura,Profesional,No
103,309861721096-8, Esteban, Aguilar,Piura,Perú,27/5/1944,Casado,$10K-$14K,M,5,3,Educación Universitaria Completa,24/4/2022,Premium,Profesional,Si
104,309882599411-1, Marta, Morales,Cajamarca,Perú,3/4/1982,Casado,$6K-$10K,F,1,1,Educación Universitaria Incompleta,11/12/2024,Frescura,Oficinista,No
105,309889677762-4, José, Villalobos,Bogotá,Colombia,5/12/1963,Casado,$30K +,M,3,3,Educación Universitaria Completa,2/8/2022,Premium,Gerencial,Si
106,309946905373-3, Carlos, Álvarez,Bogotá,Colombia,20/3/2009,Soltero,$10K-$14K,M,5,0,Educación Universitaria Completa,19/11/2021,Frescura,Profesional,Si
107,310064852832-8, Ángel, Guerra,Quito,Ecuador,5/9/1951,Casado,$6K-$10K,M,2,2,Educación Secundaria Completa,17/6/2020,Frescura,Operativa Básica,Si
108,310077451166-5, Ricardo, Sosa,Quito,Ecuador,13/5/1961,Casado,$18K-22K,M,1,1,Educación Universitaria Completa,21/2/2023,Frescura,Gerencial,Si
109,310092509090-6, Luis, Espinoza,Quito,Ecuador,8/1/1959,Soltero,$10K-$14K,M,2,0,Educación Universitaria Completa,19/9/2022,Frescura,Profesional,No
110,310117424127-4, Roberto, Arévalo,Bogotá,Colombia,2/3/1972,Soltero,$2K-$6K,M,3,0,Educación Secundaria Incompleta,8/2/2023,Básica,Operativa Básica,No
111,310170877874-4, Vanessa, Cardenas,Bogotá,Colombia,21/10/1995,Casado,$14K-$18K,F,2,2,Educación Universitaria Completa,24/2/2022,Frescura,Gerencial,Si
112,310178913772-0, Carmen, Martínez,Bogotá,Colombia,24/11/1978,Casado,$6K-$10K,F,4,1,Educación Secundaria Completa,2/11/2021,Frescura,Operativa Calificada,Si
113,310184246001-2, Verónica, Miranda,Quito,Ecuador,20/5/1994,Casado,$22K-$26K,F,2,1,Educación Universitaria Completa,27/1/2023,Frescura,Profesional,Si
114,310211038589-1, Lourdes, Galindo,Quito,Ecuador,16/4/1973,Soltero,$30K +,F,3,0,Educación Secundaria Completa,3/9/2023,Selecta,Profesional,Si
115,310233794448-0, Elena, Castro,Bogotá,Colombia,6/9/2007,Soltero,$18K-22K,F,3,0,Educación Universitaria Completa,9/12/2024,Selecta,Profesional,Si
116,310269186196-2, Antonio, Chacón,Quito,Ecuador,10/11/1964,Soltero,$18K-22K,M,2,0,Educación Secundaria Completa,14/8/2024,Frescura,Gerencial,No
117,310299302040-8, Noelia, Fuentes,Medellín,Colombia,2/4/1984,Casado,$18K-22K,F,3,1,Postgrado Universitario,16/4/2024,Frescura,Profesional,Si
118,310318772194-4, Miguel, Soto,Cali,Colombia,10/4/1943,Soltero,$10K-$14K,M,2,0,Educación Universitaria Completa,3/3/2023,Frescura,Profesional,Si
119,310329173802-4, Gabriel, Jara,Quito,Ecuador,26/7/1987,Soltero,$2K-$6K,M,4,0,Educación Secundaria Incompleta,21/5/2021,Básica,Operativa Básica,Si
120,310357318222-4, Aurora, Calderón,Medellín,Colombia,28/1/1987,Casado,$6K-$10K,F,0,0,Educación Secundaria Completa,9/7/2020,Frescura,Operativa Calificada,Si
121,310391996502-3, Loreto, Rivera,Bogotá,Colombia,17/2/1942,Soltero,$6K-$10K,F,5,0,Educación Secundaria Completa,27/7/2024,Selecta,Operativa Básica,Si
122,310417812765-5, Sonia, Zamora,Cali,Colombia,22/9/1950,Casado,$6K-$10K,F,4,1,Educación Secundaria Completa,19/5/2022,Frescura,Operativa Calificada,No
123,310481067299-4, Soledad, Medina,Bogotá,Colombia,7/8/1994,Casado,$6K-$10K,F,2,0,Educación Secundaria Completa,15/8/2023,Frescura,Operativa Básica,Si
124,310518073737-9, Adriana, Medina,Bogotá,Colombia,9/7/1960,Soltero,$14K-$18K,F,5,0,Educación Universitaria Completa,27/3/2021,Frescura,Profesional,No
125,310569180548-9, Alejandro, Molina,Bogotá,Colombia,12/4/2002,Casado,$14K-$18K,M,2,2,Educación Universitaria Completa,22/6/2021,Frescura,Profesional,Si
126,310575132368-6, Silvia, Flores,Cali,Colombia,2/3/1977,Soltero,$22K-$26K,F,2,0,Educación Universitaria Incompleta,24/7/2020,Básica,Profesional,Si
127,310604628621-6, Gabriel, Torres,Cali,Colombia,18/6/1962,Soltero,$2K-$6K,M,1,0,Educación Secundaria Incompleta,27/11/2022,Básica,Operativa Calificada,Si
128,310625901222-6, Lucía, Zamora,Medellín,Colombia,18/4/1977,Soltero,$6K-$10K,F,1,0,Educación Secundaria Completa,8/11/2022,Frescura,Operativa Calificada,No
129,310635307728-7, Raquel, Arévalo,Bogotá,Colombia,5/11/1955,Casado,$10K-$14K,F,0,0,Educación Universitaria Completa,16/11/2020,Frescura,Profesional,Si
130,310701810419-4, Vanessa, Torres,Bogotá,Colombia,15/4/1979,Soltero,$22K-$26K,F,4,0,Postgrado Universitario,23/9/2022,Frescura,Profesional,No
131,310703105927-0, Julián, Valencia,Bogotá,Colombia,3/6/1974,Soltero,$2K-$6K,M,3,0,Educación Secundaria Incompleta,22/12/2021,Básica,Operativa Básica,Si
132,310734310744-9, Beatriz, Vásquez,Quito,Ecuador,3/5/1963,Soltero,$6K-$10K,F,0,0,Educación Secundaria Completa,10/6/2023,Selecta,Operativa Calificada,No
133,310760915577-1, Nelson, Espinosa,Bogotá,Colombia,22/2/1945,Casado,$6K-$10K,M,1,0,Educación Secundaria Completa,21/11/2020,Frescura,Operativa Calificada,Si
134,310816528498-3, Manuel, Montoya,Cali,Colombia,10/4/1948,Soltero,$10K-$14K,M,4,0,Educación Universitaria Completa,7/6/2021,Frescura,Profesional,Si
135,310870451626-3, Antonio, Calderón,Lima,Perú,23/3/1954,Casado,$22K-$26K,M,5,0,Educación Universitaria Completa,8/2/2024,Selecta,Profesional,Si
136,310889264641-3, Gabriel, Martínez,Cali,Colombia,22/5/1986,Casado,$30K +,M,3,3,Educación Universitaria Completa,9/12/2021,Premium,Profesional,Si
137,310961418747-2, Elena, Suárez,Bogotá,Colombia,3/8/1973,Casado,$26K-$30K,F,3,3,Educación Universitaria Incompleta,13/7/2023,Frescura,Profesional,Si
138,311082858443-0, Estela, Hernández,Quito,Ecuador,22/9/1955,Soltero,$18K-22K,F,4,0,Educación Secundaria Incompleta,5/8/2021,Selecta,Profesional,Si
139,311137607694-5, Sergio, García,Bogotá,Colombia,4/5/1961,Casado,$6K-$10K,M,1,1,Educación Secundaria Incompleta,8/12/2021,Frescura,Operativa Básica,Si
140,311383115649-4, Gustavo, Aguilar,Bogotá,Colombia,14/11/1977,Casado,$2K-$6K,M,2,1,Educación Secundaria Incompleta,21/10/2020,Básica,Operativa Calificada,Si
141,311410208641-0, Marco, Escalante,Lima,Perú,24/7/1969,Casado,$2K-$6K,M,4,3,Educación Secundaria Incompleta,13/11/2022,Básica,Operativa Calificada,No
142,311432175933-4, Ángela, Zamora,Cali,Colombia,7/5/1988,Casado,$10K-$14K,F,2,1,Educación Universitaria Completa,24/10/2020,Premium,Profesional,Si
143,311598751842-3, Lourdes, Ramos,Bogotá,Colombia,17/8/2005,Casado,$6K-$10K,F,5,5,Educación Universitaria Incompleta,24/11/2020,Premium,Operativa Básica,Si
144,311598995922-6, Fabián, Herrera,Quito,Ecuador,25/6/1994,Soltero,$2K-$6K,M,3,0,Educación Secundaria Incompleta,4/6/2022,Frescura,Operativa Calificada,Si
145,311602413056-8, Daniel, Cruz,Quito,Ecuador,16/3/2004,Casado,$2K-$6K,M,3,3,Educación Secundaria Incompleta,27/10/2021,Básica,Operativa Básica,Si
146,311624924839-6, Eduardo, Jiménez,Quito,Ecuador,17/10/1990,Soltero,$26K-$30K,M,2,0,Educación Secundaria Incompleta,15/8/2021,Frescura,Profesional,Si
147,311707386669-9, Hugo, Sánchez,Quito,Ecuador,5/5/1947,Soltero,$22K-$26K,M,4,0,Educación Universitaria Completa,20/12/2022,Frescura,Profesional,Si
148,311714652774-4, Julián, Delgado,Cali,Colombia,4/12/1980,Soltero,$14K-$18K,M,2,0,Educación Secundaria Completa,28/7/2023,Frescura,Gerencial,No
149,311756259203-3, Antonio, Salazar,Bogotá,Colombia,27/11/1994,Soltero,$10K-$14K,M,1,0,Educación Universitaria Completa,24/7/2022,Frescura,Profesional,Si
150,311818481086-1, Isabel, Hernández,Cali,Colombia,5/6/1959,Casado,$6K-$10K,F,4,1,Educación Secundaria Completa,11/6/2021,Frescura,Operativa Básica,Si
151,311957964003-5, Lourdes, Torres,Bogotá,Colombia,4/8/1989,Casado,$6K-$10K,F,3,0,Educación Universitaria Incompleta,27/8/2021,Frescura,Gerencial,Si
152,312007099390-9, Dolores, Salinas,Cali,Colombia,3/4/1983,Soltero,$30K +,F,2,0,Educación Secundaria Completa,5/7/2020,Selecta,Profesional,Si
153,312077789006-6, Susana, Vega,Jaén,Perú,26/11/1944,Casado,$2K-$6K,F,3,2,Educación Secundaria Incompleta,11/5/2020,Básica,Operativa Básica,Si
154,312121986446-6, Maribel, Ochoa,Medellín,Colombia,25/10/1946,Soltero,$10K-$14K,F,0,0,Educación Universitaria Completa,19/12/2022,Frescura,Profesional,No
155,312209893167-0, Roberto, Montoya,Quito,Ecuador,17/5/1996,Casado,$22K-$26K,M,1,1,Educación Secundaria Incompleta,20/11/2023,Selecta,Profesional,No
156,312217609879-6, Gabriel, Aguilar,Quito,Ecuador,23/8/1974,Soltero,$26K-$30K,M,1,0,Educación Universitaria Completa,10/2/2023,Frescura,Profesional,Si
