IDCliente,Prefijo,Nombre,Apellido,Nacimiento,EstadoCivil,Género,correo-e,IngresoAnual,Hijos,NivelEducativo,Ocupacion
20898,Sr.,Ethan,Zaldivar,17/8/2002,Casado,M,zaldivarethan2002@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
20899,Sr.,Seth,Edwards,16/8/2002,Casado,M,edwardsseth2002@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
20900,Sr.,Russell,Xie,23/7/2002,Casado,M,xierussell2002@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
20901,,Alejandro,Beck,28/10/1969,Casado,NA,beckalejandro1969@ciclovida.com,2000,2,Educacion Secundaria Incompleta,Oficinista
20902,Sr.,Harold,Sai,6/2/1970,Soltero,M,saiharold1970@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
20903,Sr.,Jessie,Zhao,12/10/1970,Casado,M,zhaojessie1970@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
20904,Sra.,Jill,Jimenez,14/2/1970,Casado,F,jimenezjill1970@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
20905,Sr.,Jimmy,Martinez,26/10/1970,Casado,M,martinezjimmy1970@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
20906,Sra.,Bethany,Zaldivar,28/12/1970,Casado,F,zaldivarbethany1970@ciclovida.com,2000,2,Educacion Secundaria Incompleta,Oficinista
20907,Sra.,Theresa,Ramos,27/6/1971,Casado,F,ramostheresa1971@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo Calificado
20908,Sra.,Denise,Sosa,16/4/1971,Casado,F,sosadenise1971@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo Calificado
20909,Sr.,Jaime,Nath,29/7/1971,Casado,M,nathjaime1971@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo Calificado
20910,Sra.,Ebony,Gonzalez,24/4/1971,Casado,F,gonzalezebony1971@ciclovida.com,4000,4,Educacion Secundaria Completa,Operativo Calificado
20911,,Wendy,Dominguez,30/12/1971,Casado,NA,dominguezwendy1971@ciclovida.com,2000,2,Educacion Secundaria Incompleta,Oficinista
20912,Srita.,Jennifer,Russell,23/10/2002,Casado,F,russelljennifer2002@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
20913,Srita.,Chloe,Garcia,2/10/2001,Soltero,F,garciachloe2001@ciclovida.com,8000,0,Educacion Secundaria Incompleta,Oficinista
20914,Sra.,Diana,Hernandez,27/1/1972,Casado,F,hernandezdiana1972@ciclovida.com,2000,2,Educacion Secundaria Incompleta,Oficinista
20915,Sr.,Marc,Martinez,22/10/1972,Casado,M,martinezmarc1972@ciclovida.com,6000,3,Educacion Universitaria Completa,Oficinista
20916,Sr.,Jesse,Murphy,6/6/2001,Casado,M,murphyjesse2001@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
20917,Srita.,Amanda,Carter,21/8/2001,Casado,F,carteramanda2001@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
20918,Srita.,Megan,Sanchez,18/4/2001,Casado,F,sanchezmegan2001@ciclovida.com,14000,0,Educacion Universitaria Completa,Operativo Calificado
20919,Sr.,Nathan,Simmons,30/12/1999,Casado,M,simmonsnathan1999@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
20920,Sr.,Adam,Flores,29/3/1973,Casado,M,floresadam1973@ciclovida.com,4000,2,Educacion Secundaria Incompleta,Oficinista
20921,Sr.,Leonard,Nara,24/3/1974,Soltero,M,naraleonard1974@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
20922,Sra.,Christine,Zaldivar,25/1/1974,Casado,F,zaldivarchristine1974@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
20923,Sra.,Jaclyn,Lu,2/1/1974,Casado,F,lujaclyn1974@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
20924,Sr.,Jeremy,Perez,27/9/1974,Casado,M,perezjeremy1974@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
20925,Srita.,Carol,Rai,23/5/2004,Soltero,F,raicarol2004@ciclovida.com,8000,0,Educacion Secundaria Incompleta,Oficinista
20926,Sr.,Alan,Zaldivar,13/7/1975,Casado,M,zaldivaralan1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
20927,Sr.,Daniel,Johnson,9/6/1975,Soltero,M,johnsondaniel1975@ciclovida.com,6000,3,Educacion Secundaria Completa,Operativo Calificado
20928,Sra.,Heidi,Lopez,12/6/1975,Soltero,F,lopezheidi1975@ciclovida.com,8000,2,Educacion Universitaria Completa,Oficinista
20929,Srita.,Ana,Perez,25/6/2004,Casado,F,perezana2004@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
20930,Sra.,Deanna,Munoz,14/1/1976,Casado,F,munozdeanna1976@ciclovida.com,8000,2,Educacion Universitaria Completa,Operativo Calificado
20931,Sr.,Gilbert,Raje,9/1/1976,Casado,M,rajegilbert1976@ciclovida.com,8000,2,Educacion Universitaria Completa,Operativo Calificado
20932,Sra.,Michele,Nath,6/2/1977,Casado,F,nathmichele1977@ciclovida.com,8000,3,Educacion Universitaria Completa,Operativo Calificado
20933,Sr.,Carl,Alvarez,17/8/1977,Casado,M,alvarezcarl1977@ciclovida.com,14000,2,Postgrado,Administrativo
20934,Sr.,Marc,Diaz,2/3/1978,Casado,M,diazmarc1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
20935,Sra.,Ashlee,Alvarez,4/2/1978,Soltero,F,alvarezashlee1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
20936,Sr.,Jon,Zaldivar,20/1/1978,Casado,M,zaldivarjon1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
20937,Sr.,Todd,Gao,2/1/1978,Casado,M,gaotodd1978@ciclovida.com,16000,2,Educacion Universitaria Completa,Operativo Calificado
20938,Sr.,Noah,Perez,8/7/1999,Casado,M,pereznoah1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
20939,Srita.,Angela,Murphy,10/2/1999,Soltero,F,murphyangela1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
20940,Sr.,Chase,Reed,12/10/1999,Casado,M,reedchase1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
20941,Srita.,Jessica,Henderson,14/8/1997,Casado,F,hendersonjessica1997@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
20942,Srita.,Grace,Barbosa,2/10/1997,Casado,F,barbosagrace1997@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20943,Sr.,Caleb,Carter,31/7/2000,Soltero,M,cartercaleb2000@ciclovida.com,12000,0,Educacion Universitaria Completa,Profesional
20944,Sra.,Tiffany,Liang,29/7/1979,Soltero,F,liangtiffany1979@ciclovida.com,16000,2,Educacion Secundaria Completa,Operativo Calificado
20945,Sra.,Carolyn,Navarro,27/7/1979,Soltero,F,navarrocarolyn1979@ciclovida.com,16000,2,Educacion Secundaria Completa,Operativo Calificado
20946,Sr.,Willie,Raji,8/2/1979,Casado,M,rajiwillie1979@ciclovida.com,16000,2,Educacion Secundaria Completa,Operativo Calificado
20947,Sra.,Linda,Serrano,1/5/1979,Soltero,F,serranolinda1979@ciclovida.com,16000,2,Educacion Secundaria Completa,Operativo Calificado
20948,Sra.,Casey,Luo,12/12/1978,Soltero,F,luocasey1978@ciclovida.com,16000,2,Educacion Secundaria Completa,Operativo Calificado
20949,Sra.,Amy,Ye,19/6/1980,Soltero,F,yeamy1980@ciclovida.com,14000,2,Educacion Secundaria Completa,Operativo Calificado
20950,Sr.,Levi,Arun,3/7/1980,Soltero,M,arunlevi1980@ciclovida.com,14000,2,Educacion Secundaria Completa,Operativo Calificado
20951,Sra.,Felicia,Jimenez,21/9/1981,Soltero,F,jimenezfelicia1981@ciclovida.com,16000,2,Educacion Secundaria Completa,Profesional
20952,Sr.,Blake,Alvarez,18/5/1981,Soltero,M,alvarezblake1981@ciclovida.com,16000,2,Educacion Secundaria Completa,Profesional
20953,Sra.,Leah,Ye,25/7/1981,Soltero,F,yeleah1981@ciclovida.com,16000,2,Educacion Secundaria Completa,Profesional
20954,Srita.,Gina,Martinez,15/11/1997,Soltero,F,martinezgina1997@ciclovida.com,8000,0,Educacion Secundaria Completa,Profesional
20955,Sr.,Donald,Gonzalez,14/1/1983,Soltero,M,gonzalezdonald1983@ciclovida.com,32000,0,Postgrado,Administrativo
20956,Sr.,Damien,Chander,22/5/1983,Casado,M,chanderdamien1983@ciclovida.com,34000,0,Postgrado,Administrativo
20957,Sra.,Savannah,Barbosa,29/5/1990,Casado,F,barbosasavannah1990@ciclovida.com,24000,2,Educacion Universitaria Completa,Administrativo
20958,,Angela,Barbosa,9/6/1990,Soltero,NA,barbosaangela1990@ciclovida.com,26000,0,Postgrado,Administrativo
20959,Srita.,Alyssa,Cox,18/1/1990,Casado,F,coxalyssa1990@ciclovida.com,26000,0,Postgrado,Administrativo
20960,Sr.,Lucas,Perez,18/7/1981,Soltero,M,perezlucas1981@ciclovida.com,16000,2,Educacion Secundaria Incompleta,Operativo Calificado
20961,Sra.,Emily,Johnson,24/5/1981,Soltero,F,johnsonemily1981@ciclovida.com,12000,2,Educacion Secundaria Completa,Profesional
20962,Sr.,Ryan,Barbosa,28/10/1981,Casado,M,barbosaryan1981@ciclovida.com,14000,2,Educacion Universitaria Completa,Profesional
20963,Sra.,Tamara,Liang,8/8/1981,Casado,F,liangtamara1981@ciclovida.com,14000,3,Educacion Universitaria Completa,Profesional
20965,Sra.,Abigail,Perez,11/12/1980,Soltero,F,perezabigail1980@ciclovida.com,16000,2,Educacion Universitaria Completa,Administrativo
20966,Sr.,Trevor,Barbosa,22/10/1981,Soltero,M,barbosatrevor1981@ciclovida.com,18000,2,Educacion Universitaria Completa,Profesional
20967,Sr.,Dalton,Perez,7/2/1981,Casado,M,perezdalton1981@ciclovida.com,18000,2,Educacion Universitaria Completa,Profesional
20968,Sra.,Cheryl,Diaz,11/3/1991,Casado,F,diazcheryl1991@ciclovida.com,18000,2,Educacion Universitaria Completa,Profesional
20969,Srita.,Aimee,He,16/7/1991,Casado,F,heaimee1991@ciclovida.com,20000,0,Postgrado,Administrativo
20970,Sr.,Cedric,Ma,4/2/1986,Soltero,M,macedric1986@ciclovida.com,14000,1,Educacion Universitaria Completa,Operativo Calificado
20971,Sr.,Chad,Kumar,7/7/1986,Soltero,M,kumarchad1986@ciclovida.com,14000,1,Educacion Universitaria Completa,Operativo Calificado
20972,Sr.,Andrés,Alvarez,15/6/1986,Casado,M,alvarezandrés1986@ciclovida.com,12000,1,Educacion Universitaria Completa,Profesional
20973,Sr.,Edwin,Nara,1/9/1985,Casado,M,naraedwin1985@ciclovida.com,12000,1,Educacion Universitaria Completa,Operativo Calificado
20974,Sra.,Mallory,Rubio,6/3/1985,Soltero,F,rubiomallory1985@ciclovida.com,12000,1,Educacion Universitaria Completa,Operativo Calificado
20975,Sr.,Adam,Ross,11/1/1985,Casado,M,rossadam1985@ciclovida.com,12000,1,Educacion Universitaria Completa,Profesional
20976,Sra.,Latasha,Navarro,21/7/1984,Soltero,F,navarrolatasha1984@ciclovida.com,12000,1,Educacion Universitaria Completa,Operativo Calificado
20977,Srita.,Abby,Sai,13/3/1989,Soltero,F,saiabby1989@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20978,Sra.,Julia,Nelson,24/2/1989,Soltero,F,nelsonjulia1989@ciclovida.com,16000,5,Educacion Universitaria Completa,Profesional
20979,Srita.,Cassie,Chande,22/8/1988,Soltero,F,chandecassie1988@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20980,Sr.,Edgar,Sara,15/1/1988,Casado,M,saraedgar1988@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20981,Srita.,Candace,Fernandez,2/11/1988,Soltero,F,fernandezcandace1988@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20982,Sr.,Jessie,Liu,17/7/1988,Soltero,M,liujessie1988@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20983,Sra.,Bianca,Lin,15/7/1983,Casado,F,linbianca1983@ciclovida.com,18000,1,Educacion Universitaria Completa,Profesional
20984,Srita.,Kari,Alvarez,19/5/1987,Soltero,F,alvarezkari1987@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20985,Sr.,Ruben,Kapoor,10/9/1987,Soltero,M,kapoorruben1987@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20986,Sr.,Curtis,Yang,11/4/1986,Casado,M,yangcurtis1986@ciclovida.com,12000,1,Educacion Universitaria Completa,Operativo Calificado
20987,Sra.,Meredith,Gutierrez,29/12/1985,Casado,F,gutierrezmeredith1985@ciclovida.com,12000,1,Educacion Universitaria Completa,Operativo Calificado
20988,Sra.,Crystal,Wang,15/7/1986,Casado,F,wangcrystal1986@ciclovida.com,12000,1,Educacion Universitaria Completa,Operativo Calificado
20989,Sr.,Micheal,Blanco,27/12/1985,Casado,M,blancomicheal1985@ciclovida.com,14000,5,Educacion Universitaria Completa,Profesional
20990,Sra.,Leslie,Martinez,2/4/1986,Soltero,F,martinezleslie1986@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
20991,Sr.,Alvin,Cai,18/12/1985,Casado,M,caialvin1985@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
20992,Sr.,Clinton,Carlson,12/8/1986,Casado,M,carlsonclinton1986@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
20993,Sra.,April,Deng,27/12/1984,Casado,F,dengapril1984@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
20994,Sr.,Alvin,Zaldivar,8/5/1981,Soltero,M,zaldivaralvin1981@ciclovida.com,16000,1,Educacion Universitaria Completa,Operativo Calificado
20995,Sr.,Evan,James,13/2/1959,Soltero,M,jamesevan1959@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
20997,Sr.,Orlando,Suarez,23/9/1984,Casado,M,suarezorlando1984@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
20998,Sr.,Roberto,Vazquez,6/2/1984,Casado,M,vazquezroberto1984@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
20999,Sr.,Philip,Alvarez,25/4/1984,Casado,M,alvarezphilip1984@ciclovida.com,14000,5,Educacion Universitaria Completa,Operativo Calificado
21000,Sr.,Ross,Jordan,1/6/1981,Soltero,M,jordanross1981@ciclovida.com,16000,1,Educacion Universitaria Completa,Operativo Calificado
21001,Sra.,Dana,Navarro,12/2/1980,Soltero,F,navarrodana1980@ciclovida.com,14000,1,Educacion Universitaria Completa,Operativo Calificado
21002,Sr.,Shaun,Carson,10/2/1973,Casado,M,carsonshaun1973@ciclovida.com,2000,2,Educacion Secundaria Completa,Operativo Calificado
21003,Srita.,Jan,Edwards,26/8/1999,Casado,F,edwardsjan1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21004,Srita.,Samantha,Long,10/10/1999,Casado,F,longsamantha1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21005,Srita.,Julia,Wright,10/6/1999,Soltero,F,wrightjulia1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21006,Srita.,Caroline,Russell,11/11/2003,Casado,F,russellcaroline2003@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
21007,Srita.,Amanda,Rivera,16/1/2004,Casado,F,riveraamanda2004@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
21008,Srita.,Melissa,Richardson,31/8/2004,Soltero,F,richardsonmelissa2004@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
21009,Srita.,Angela,Griffin,14/7/2004,Soltero,F,griffinangela2004@ciclovida.com,6000,0,Educacion Secundaria Incompleta,Oficinista
21010,Sr.,Larry,Torres,1/1/1970,Soltero,M,torreslarry1970@ciclovida.com,2000,5,Educacion Secundaria Completa,Operativo Calificado
21011,Sr.,Marcus,Harris,8/9/2003,Soltero,M,harrismarcus2003@ciclovida.com,6000,0,Educacion Secundaria Incompleta,Oficinista
21012,Srita.,Brianna,Morgan,31/8/2002,Soltero,F,morganbrianna2002@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21013,Srita.,Jasmine,Taylor,25/5/2002,Casado,F,taylorjasmine2002@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21014,Srita.,Lauren,Davis,21/7/2002,Casado,F,davislauren2002@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21015,Sra.,Tanya,Martinez,14/9/1962,Soltero,F,martineztanya1962@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
21016,Sr.,Javier,Alvarez,17/12/2000,Soltero,M,alvarezjavier2000@ciclovida.com,6000,0,Educacion Secundaria Incompleta,Oficinista
21017,Srita.,Nicole,Ramirez,26/4/2001,Casado,F,ramireznicole2001@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21018,Sr.,Eduardo,Patterson,19/6/2001,Soltero,M,pattersoneduardo2001@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21019,Sr.,Jonathan,Henderson,10/12/2000,Casado,M,hendersonjonathan2000@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21020,Sr.,Edward,Hernandez,15/7/2003,Soltero,M,hernandezedward2003@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21021,Srita.,Jasmine,Coleman,13/10/2003,Soltero,F,colemanjasmine2003@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21022,Sra.,Karla,Goel,1/7/1963,Soltero,F,goelkarla1963@ciclovida.com,8000,2,Educacion Universitaria Completa,Administrativo
21023,Sr.,Ernest,Wu,11/12/1962,Casado,M,wuernest1962@ciclovida.com,12000,2,Postgrado,Administrativo
21024,Sr.,Ross,Vazquez,21/6/1965,Casado,M,vazquezross1965@ciclovida.com,8000,2,Educacion Universitaria Completa,Administrativo
21025,Sr.,Theodore,Gill,23/2/1965,Casado,M,gilltheodore1965@ciclovida.com,8000,2,Educacion Universitaria Completa,Administrativo
21026,Sr.,Russell,Shen,18/1/1965,Soltero,M,shenrussell1965@ciclovida.com,8000,2,Educacion Universitaria Completa,Administrativo
21027,Sra.,Melinda,Gill,31/12/1965,Soltero,F,gillmelinda1965@ciclovida.com,12000,2,Postgrado,Administrativo
21028,Sr.,James,Williams,15/11/1999,Soltero,M,williamsjames1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21029,Srita.,Angela,James,28/4/2000,Casado,F,jamesangela2000@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21030,Srita.,Megan,Walker,26/6/2000,Soltero,F,walkermegan2000@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21031,Sr.,Hunter,Robinson,1/12/1999,Soltero,M,robinsonhunter1999@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21032,Srita.,Maria,Roberts,13/12/1999,Soltero,F,robertsmaria1999@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21033,Srita.,Hannah,Long,16/4/1999,Casado,F,longhannah1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21034,Sr.,Jason,Wright,13/8/1999,Soltero,M,wrightjason1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21035,Srita.,Brianna,Hughes,23/7/1999,Soltero,F,hughesbrianna1999@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
21036,Sr.,Maurice,Tang,13/11/1997,Soltero,M,tangmaurice1997@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21037,Srita.,Emily,Wood,25/2/1998,Soltero,F,woodemily1998@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21038,Sr.,Chase,Cox,8/1/1998,Soltero,M,coxchase1998@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21039,Sr.,Gabriel,Wang,25/10/1998,Casado,M,wanggabriel1998@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21040,Sr.,Devin,Barbosa,10/3/1998,Soltero,M,barbosadevin1998@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
21041,Srita.,Jocelyn,Alvarez,23/5/1997,Casado,F,alvarezjocelyn1997@ciclovida.com,12000,0,Educacion Universitaria Completa,Operativo Calificado
21042,Srita.,Ashley,Martinez,28/2/1996,Soltero,F,martinezashley1996@ciclovida.com,14000,0,Educacion Universitaria Completa,Operativo Calificado
21043,Srita.,Jasmine,Barbosa,6/6/1996,Soltero,F,barbosajasmine1996@ciclovida.com,16000,0,Educacion Universitaria Completa,Administrativo
21044,Sr.,David,Rodriguez,20/3/1992,Soltero,M,rodriguezdavid1992@ciclovida.com,16000,0,Educacion Universitaria Completa,Administrativo
21045,Sr.,Bryce,Richardson,27/4/1992,Casado,M,richardsonbryce1992@ciclovida.com,18000,4,Educacion Universitaria Completa,Administrativo
21046,Sra.,Carol,Howard,11/12/1991,Casado,F,howardcarol1991@ciclovida.com,18000,4,Educacion Universitaria Completa,Administrativo
21047,Sr.,Jonathan,Hill,14/8/1991,Soltero,M,hilljonathan1991@ciclovida.com,20000,1,Educacion Universitaria Completa,Administrativo
21048,Sra.,Gabrielle,Alvarez,26/9/1991,Casado,F,alvarezgabrielle1991@ciclovida.com,20000,1,Educacion Universitaria Completa,Administrativo
21049,Srita.,Sarah,Torres,7/7/1991,Soltero,F,torressarah1991@ciclovida.com,22000,0,Postgrado,Administrativo
21050,Sr.,Nicholas,Robinson,18/5/1991,Casado,M,robinsonnicholas1991@ciclovida.com,22000,0,Postgrado,Administrativo
21051,Sr.,Luis,Wang,8/1/1987,Soltero,M,wangluis1987@ciclovida.com,14000,0,Educacion Universitaria Completa,Operativo Calificado
21052,Sr.,Mason,Roberts,30/11/1991,Casado,M,robertsmason1991@ciclovida.com,18000,4,Educacion Universitaria Completa,Administrativo
21053,Sr.,Jose,Flores,9/5/1966,Casado,M,floresjose1966@ciclovida.com,22000,2,Postgrado,Administrativo
21054,Sr.,Nathan,Johnson,29/6/1967,Casado,M,johnsonnathan1967@ciclovida.com,20000,2,Postgrado,Administrativo
21055,Sra.,Molly,Rodriguez,19/4/1967,Casado,F,rodriguezmolly1967@ciclovida.com,24000,2,Postgrado,Administrativo
21056,Sra.,April,Alvarez,7/11/1966,Casado,F,alvarezapril1966@ciclovida.com,32000,1,Educacion Universitaria Completa,Administrativo
21057,Sr.,Devin,Martinez,13/6/1967,Casado,M,martinezdevin1967@ciclovida.com,34000,2,Postgrado,Administrativo
21058,Sra.,Stephanie,Torres,30/6/1968,Soltero,F,torresstephanie1968@ciclovida.com,14000,4,Educacion Universitaria Completa,Administrativo
21059,Sra.,Jasmine,Lee,20/5/1968,Soltero,F,leejasmine1968@ciclovida.com,14000,4,Educacion Universitaria Completa,Administrativo
21060,Sra.,Meghan,Hernandez,21/9/1968,Soltero,F,hernandezmeghan1968@ciclovida.com,14000,4,Educacion Universitaria Completa,Administrativo
21061,Sra.,Ashley,Henderson,13/8/1968,Soltero,F,hendersonashley1968@ciclovida.com,14000,4,Educacion Universitaria Completa,Administrativo
21062,Sra.,Sarah,Perez,26/3/1968,Soltero,F,perezsarah1968@ciclovida.com,14000,4,Educacion Universitaria Completa,Administrativo
21063,Sra.,Jennifer,Cooper,28/12/1967,Casado,F,cooperjennifer1967@ciclovida.com,12000,4,Postgrado,Administrativo
21064,Sra.,Catherine,Morris,12/7/1968,Casado,F,morriscatherine1968@ciclovida.com,12000,4,Postgrado,Administrativo
21066,Sr.,Carson,Barbosa,27/4/1968,Casado,M,barbosacarson1968@ciclovida.com,14000,5,Educacion Universitaria Completa,Administrativo
21067,Sra.,Kristi,Perez,23/10/1969,Soltero,F,perezkristi1969@ciclovida.com,14000,5,Educacion Universitaria Completa,Administrativo
21068,Sr.,James,Barbosa,19/7/1969,Casado,M,barbosajames1969@ciclovida.com,12000,4,Educacion Universitaria Completa,Administrativo
21069,Sr.,Ian,Gray,19/12/1968,Casado,M,grayian1968@ciclovida.com,12000,4,Educacion Universitaria Completa,Administrativo
